iter	Logloss
0	0.6920279632
1	0.6905780983
2	0.6892772572
3	0.688239178
4	0.6869926442
5	0.6859773778
6	0.6853030632
7	0.6844423522
8	0.683559566
9	0.6824042853
10	0.6815860836
11	0.6807864875
12	0.6796770319
13	0.6788229239
14	0.6780870368
15	0.677489315
16	0.6762019144
17	0.6754972257
18	0.674554313
19	0.6736152796
20	0.67274827
21	0.6717994082
22	0.6709905358
23	0.6701638656
24	0.6695019215
25	0.6683900696
26	0.6675750122
27	0.6669263176
28	0.6661613043
29	0.665251549
30	0.6646717259
31	0.6641017274
32	0.6634113274
33	0.6628890727
34	0.6621554943
35	0.6614696637
36	0.6609451654
37	0.6603996022
38	0.6597508473
39	0.6594076483
40	0.6584356158
41	0.6576973974
42	0.6570169565
43	0.6563184147
44	0.6555681314
45	0.6549416108
46	0.6541483869
47	0.6537500962
48	0.6533876681
49	0.6527006316
50	0.6521634279
51	0.6517517009
52	0.6511010374
53	0.6501402623
54	0.6497939093
55	0.6491616949
56	0.648503615
57	0.6474549971
58	0.6465127579
59	0.6461376891
60	0.6454832851
61	0.6449684466
62	0.6443734683
63	0.6437798181
64	0.6432545207
65	0.6427444976
66	0.6424605261
67	0.6420490059
68	0.6415037198
69	0.6413090384
70	0.6406058928
71	0.64013597
72	0.6398413149
73	0.6392322961
74	0.6389746446
75	0.6384326754
76	0.6378078585
77	0.6372439134
78	0.6367502367
79	0.6361792803
80	0.635639841
81	0.6350773901
82	0.634668508
83	0.633977778
84	0.6336570659
85	0.6329846093
86	0.6327196312
87	0.6322971409
88	0.6315439863
89	0.6309198902
90	0.6303469508
91	0.6299989948
92	0.6296961314
93	0.6288842607
94	0.6286006548
95	0.6279922963
96	0.6270955251
97	0.6262550628
98	0.625950169
99	0.6255656654
100	0.6252262984
101	0.6246106755
102	0.6242739292
103	0.6239193423
104	0.6233028888
105	0.6229323057
106	0.6227000396
107	0.6223107256
108	0.6219668441
109	0.6215649469
110	0.6210944451
111	0.6205015088
112	0.6199554178
113	0.6196368704
114	0.619323206
115	0.6189418201
116	0.6187990481
117	0.6184381898
118	0.617928331
119	0.6172929442
120	0.6171168558
121	0.616745522
122	0.6164081119
123	0.6158746681
